2239	["bee"]	Hairy-bodied black‑and‑yellow striped insect with translucent wings, antennae, and pollinating work.
2242	["coat", "overcoat", "greatcoat"]	Heavy outer garment with sleeves, covering shoulders to waist, worn outdoors in cold.
2243	["grandmother", "granny", "grandma"]	Maternal or paternal female parent of one's parents; elderly family member.
2244	["grandfather", "grandpa"]	Male elderly family member who is the father of one's parent, embodying warm wisdom.
2245	["boring", "dull"]	Inducing mental fatigue through unvarying, unengaging content that fails to capture attention.
2246	["olive oil", "oil"]	Liquid edible fat extracted from olives, used as cooking and salad condiment.
2247	["pavement", "sidewalk"]	Paved walkway adjacent to a street, composed of tiled surface for pedestrian travel.
2248	["water"]	Clear, odorless, tasteless liquid essential for animal and plant life, solvent and beverage
2249	["carpet", "rug"]	Thick heavy fabric piece covering floors, often with nap or pile, rectangular decorative.
2250	["pillow"]	Soft rectangular cushion for supporting a sleeping person's head during rest.
2251	["ambulance"]	Emergency vehicle transporting patients to and from hospitals, marked with red cross.
2252	["ring"]	Circular metal band, often jeweled, worn on a finger as decorative accessory.
2253	["dish antenna", "dish aerial"]	Parabolic reflector antenna mounted on a stand, directing microwave or radio signals upward.
2254	["spider"]	Eight-legged predatory arachnid that spins silk for cocoons and prey traps
2255	["friends"]	Two men and a woman who share affection and trust.
2256	["tree"]	Tall woody plant with single trunk and branching canopy, rooted in soil.
2257	["squirrel"]	Arboreal rodent with long bushy tail, herbivorous, viviparous, terrestrial mammal.
2258	["wardrobe", "closet"]	Tall wooden cabinet with doors, drawer, and hanging rails for storing clothing
2259	["rice and tomato sauce", "rice with tomato"]	Combination of cooked white rice topped with seasoned red tomato sauce.
2260	["lift", "elevator"]	Mechanically operated vertical shaft cabin transporting occupants between building floors.
2261	["scared", "frightened"]	Experiencing intense fear, causing trembling, rapid heartbeat, and a strong urge to flee.
2262	["bus", "coach", "autobus", "passenger vehicle"]	Large road vehicle that transports many passengers on public routes.
2263	["bus", "urban bus"]	Large road vehicle transporting many passengers on scheduled routes, featuring doors and windows
2264	["aeroplane", "airliner"]	A fixed-wing, jet-powered vehicle that transports passengers through the air
2265	["sugar bowl"]	A light-blue dish for serving granulated sugar, often accompanied by a spoon
2266	["sugar bowl"]	Container for serving granulated sugar, often includes a spoon and accompanies sugar cubes.
2267	["bib"]	Protective cloth fastened under a child's chin during meals, often decorative.
2268	["whale"]	Large marine mammal with streamlined body, blowhole breathing, omnivorous, viviparous.
2269	["ball", "soccer ball"]	Spherical object made of black pentagons and white hexagons used in soccer.
2270	["swimsuit", "swimming costume"]	Form‑fitting orange one‑piece garment with white side stripes, designed for swimming.
2271	["bathe"]	Wash one's whole body using water, often in a tub or shower.
2272	["bathtub", "bath", "tub"]	Large open container filled with water for bathing the body, typically in a home
2273	["boat", "ocean liner"]	Seaworthy vessel designed for open‑sea travel, carrying passengers or cargo across water.
2274	["mixer", "electric mixer"]	Electric hand-held kitchen appliance that combines ingredients using rotating beaters.
2275	["baby", "babe"]	A newborn human, typically up to one year, dependent and still developing.
2276	["drink"]	Ingest liquid through mouth, satisfying thirst or enjoyment, as a person does.
2277	["bicycle", "bike"]	Two‑wheel land transport moved by foot pedals, featuring chain‑driven gears.
2278	["bidet"]	Wall-mounted bathroom fixture with curved basin, faucet, and flush button for personal hygiene.
2279	["bikini"]	Women's two-piece pink swimsuit with halter top, tied straps, low‑rise bottom, side ties
2280	["blouse"]	Light-colored women's top featuring a V-neck, long sleeves, and waist‑tying wrap.
2281	["sandwich"]	Two or more bread slices surrounding a filling such as meat, cheese, or vegetables.
2282	["ball-point pen", "ballpoint", "ballpen"]	Writing instrument using a rotating metal ball to transfer ink onto paper
2283	["bowls", "bowling"]	Outdoor lawn game using biased wooden balls rolled toward a small target ball.
2284	["handbag"]	Portable fashion accessory with curved handle, holding money and small personal items.
2285	["light bulb", "bulb", "electric light"]	Glass enclosure with filament that glows when powered, mounted in fixtures.
2286	["erase", "rub out"]	Eliminate pencil marks by rubbing with an eraser, clearing the surface.
2287	["boots", "rubber boots", "gum boots"]	High rubber footwear covering foot and ankle, often worn for wet conditions.
2288	["bottle"]	Glass or plastic cylindrical container with a narrow neck for storing liquids.
2289	["panties", "knickers"]	Short undergarments for females covering hips and pelvis, often made of soft fabric.
2290	["scarf"]	Long fabric loop worn around neck or shoulders for warmth and decoration.
2291	["donkey", "ass"]	Domesticated herbivorous mammal used for load‑bearing, hardy, sure‑footed, long‑eared, small, brown, earth‑bound.
2292	["post-box", "letter box", "mailbox"]	Yellow public mailbox with rectangular slot and crown emblem for depositing mail
2293	["post-box", "letter box", "mailbox"]	Public metal container with slot and keyhole for depositing letters and parcels.
2294	["horse"]	Solid-hoofed herbivorous quadruped mammal, domesticated for centuries, used in sport.
2295	["goat", "billy goat", "domestic goat"]	Agile bearded ruminant mammal with straight horns, herbivorous, domesticated for milk.
2296	["coffee"]	Steaming brewed beverage made from ground coffee beans, served in cups.
2297	["coffee maker", "italian espresso maker"]	Stovetop appliance that brews espresso by forcing water through coffee grounds.
2298	["socks"]	Cloth coverings for feet, worn inside shoes, extending from ankle toward knee.
2299	["street", "avenue", "boulevard"]	Paved public thoroughfare between sidewalks, lined with buildings, for vehicle and pedestrian traffic.
2300	["hot"]	Having a high temperature that produces heat and a burning bodily sensation.
2302	["road", "road surface", "route"]	A public, paved pathway enabling vehicular travel along a designated route
2303	["underpants"]	Light‑blue garment covering waist to thighs, featuring a wide waistband and three panels.
2304	["bed"]	Furniture piece offering a sleeping surface, typically with mattress, frame, and bedding.
2305	["dromedary"]	Single‑humped desert camel native to northern Africa and southwestern Asia
2306	["lorry", "camion"]	Heavy-duty road vehicle with enclosed cargo area for transporting goods.
2307	["toy truck"]	Miniature replica of a dump truck designed for play, featuring colored cab and cargo bed.
2308	["shirt"]	Short‑sleeved garment covering upper torso, featuring collar, buttons, and chest pocket.
2309	["T-shirt"]	Close-fitting short‑sleeved pullover shirt with rounded neckline, typically made of cotton.
